symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
BTC,27287.390552189227,11452282979.142145,-43.515,-0.35242804,-0.86196281,4.347303,5.12566087,-6.00682943,-10.34424061,532194327880.85547,49.2659,573035201595.97,,2023-10-03T22:49:00.000Z
ETH,1649.8666719280802,4728677148.987733,-46.3262,-0.30295024,-0.54896313,3.91019724,0.87887211,-9.71788905,-13.59685718,198381172169.68466,18.3723,198381172169.68,,2023-10-03T22:49:00.000Z
USDT,1.0000330228343466,28143267587.638542,-18.545,-0.00299132,-0.01557546,0.00690948,0.01677724,0.15987748,-0.01657819,83343614156.14983,7.7113,86428565856.19,,2023-10-03T22:49:00.000Z
BNB,212.84505644975928,299789723.79783225,-38.1932,-0.20764843,-0.72188957,0.61096503,-0.6218348,-11.77029428,-10.9170107,32745421958.871876,3.0298,32745421958.87,,2023-10-03T22:49:00.000Z
XRP,0.510287173017559,763345290.9024348,-20.2587,-0.76656226,-0.36543869,1.96950152,1.13454761,-19.75014821,6.76300691,27204615622.66511,2.5194,51028717301.76,,2023-10-03T22:49:00.000Z
USDC,1.0000168809772052,2498306959.3395257,-42.3366,-0.00352058,0.00760043,-0.03531543,-0.00736908,0.01563414,-0.0084666,25257167520.904484,2.3369,25257167520.9,,2023-10-03T22:49:00.000Z
SOL,23.308145647321304,639159301.566676,-7.9559,-0.85879869,0.2107526,22.94196248,19.31298728,2.16593435,23.74654112,9636649127.690493,0.8916,13028882874.08,,2023-10-03T22:49:00.000Z
ADA,0.25810244193666115,153352375.2121696,-29.8319,-0.40318262,-0.08773727,5.52309796,1.11803109,-12.07782062,-9.04005954,9069309848.267076,0.8391,11614609887.15,,2023-10-03T22:49:00.000Z
DOGE,0.06129495841444502,155892000.19256955,-44.3361,-0.15621806,-0.85883725,1.57004991,-2.81470438,-16.36801863,-8.38506338,8658836982.352612,0.8012,8658836982.35,,2023-10-03T22:49:00.000Z
TRX,0.08936938436277406,182468382.77191484,-11.3583,2.18875409,2.18693177,5.92164761,16.04224249,16.84350898,16.16867607,7957506801.191136,0.7363,7957507339.08,,2023-10-03T22:49:00.000Z
TON,2.0344791916284897,10935365.18836138,-73.8102,0.2991423,0.37556395,-4.133245,9.23665396,69.59491417,47.48791245,6982113040.177347,0.646,10269152793.74,,2023-10-03T22:49:00.000Z
DAI,0.9991219066921364,87583014.0701204,-29.9823,-0.08599366,-0.06547538,-0.06576785,-0.06657864,-0.04158891,-0.07114437,5343192650.559282,0.4944,5343192650.56,,2023-10-03T22:49:00.000Z
MATIC,0.5658337513752432,338885072.9373557,0.7218,-0.56108309,3.19813258,10.98787081,4.75263344,-14.7267907,-15.44963122,5262142435.922802,0.4869,5658337513.75,,2023-10-03T22:49:00.000Z
DOT,4.063458208280128,59915177.46490388,-51.439,-0.40802314,-1.24544333,1.44635571,-4.71976587,-18.43402574,-21.79934119,4999826141.225141,0.463,5537256512.29,,2023-10-03T22:49:00.000Z
LTC,65.36818663515093,186612836.86319068,-36.0535,-0.27134746,-0.45967574,2.88709739,2.40309594,-20.22114314,-35.81021438,4819092361.389566,0.4459,5490927677.35,,2023-10-03T22:49:00.000Z
BCH,230.0211967088853,296256523.6112037,-34.7759,-0.80070507,-6.25835664,7.34697647,17.39184119,2.73390649,-13.94036489,4490432110.808955,0.4155,4830445130.89,,2023-10-03T22:49:00.000Z
WBTC,27333.887470048332,85638356.95528536,-63.8557,-0.19112308,-0.60106716,4.44867003,5.25178327,-5.80642773,-10.21219026,4455277506.839173,0.4122,4455277506.84,,2023-10-03T22:49:00.000Z
SHIB,7.253795266482148e-06,75484604.8658729,-39.9343,-0.1575608,-0.45525807,0.43039094,-5.43267137,-16.07905094,-2.73227407,4275001859.6683693,0.3955,4276758189.26,,2023-10-03T22:49:00.000Z
LINK,7.3966436984107515,285715928.56765604,-25.4731,-0.63917914,-0.81640389,0.81845635,22.91185678,3.93909504,17.71680487,4118820824.9098177,0.3811,7396643698.41,,2023-10-03T22:49:00.000Z
LEO,3.711194831687997,638393.95847631,-6.4712,-0.07588592,1.01186943,1.99864128,0.68020149,-8.88676188,-4.29463342,3448267291.5090013,0.319,3656415755.22,,2023-10-03T22:49:00.000Z
TUSD,0.9985092826122175,198714870.32368225,-53.9333,-0.0156264,-0.05873451,0.03554175,-0.00494011,-0.10787863,-0.15687983,3440673901.257243,0.3183,3440673901.26,,2023-10-03T22:49:00.000Z
AVAX,9.41046617442142,89212892.89358033,-24.0843,0.23990898,1.17938237,4.66069781,-4.59037865,-24.070551,-25.59270174,3333504723.1050153,0.3084,6775535645.58,,2023-10-03T22:49:00.000Z
XLM,0.11133251827727113,69046933.36451125,-9.8845,-0.14286605,0.15337705,-0.21682802,-6.10617414,-18.74590323,11.30349281,3090540517.722542,0.286,5566827070.79,,2023-10-03T22:49:00.000Z
XMR,147.15935700449134,49138913.47165933,-22.9296,-0.22826721,0.84342148,1.74965402,4.08066142,-6.78829982,-11.758906,2698906101.655524,0.2499,2698906101.66,,2023-10-03T22:49:00.000Z
ATOM,7.055306904267651,74005782.45573726,-3.2908,-0.68462301,-1.53715461,1.56879707,3.90241292,-16.63495265,-24.67379087,2593745510.997885,0.24,2593745511.0,,2023-10-03T22:49:00.000Z
OKB,43.08917928045855,1648041.74770034,-57.067,-0.18935223,0.14168691,0.11653335,2.00446572,-3.47508186,-0.66945555,2585350756.827513,0.2392,12926753784.14,,2023-10-03T22:49:00.000Z
UNI,4.350282797862485,69243200.5410798,-28.0006,-0.36350563,-2.61485776,2.80813544,-1.20416046,-28.12767748,-19.54483422,2512292800.90715,0.2324,4350282797.86,1097488487.65499,2023-10-03T22:49:00.000Z
ETC,15.784146213006288,187698662.15325522,31.4054,-0.57369241,-2.44133312,4.97480521,2.88732303,-11.62619989,-17.6240155,2262264305.2049246,0.2093,3325719607.08,,2023-10-03T22:49:00.000Z
BUSD,1.0000017285846436,590079750.178071,-29.5655,0.00430542,-0.04198874,-0.02718269,-0.02385928,0.00969663,-0.01211923,2254673005.0745673,0.2086,2254673005.07,,2023-10-03T22:49:00.000Z
HBAR,0.04967844651406181,66163204.3306331,-1.3798,0.0195344,-0.32367991,0.83675142,2.18041399,-6.07755314,5.35548541,1661746072.2654152,0.1538,2483922325.7,,2023-10-03T22:49:00.000Z
FIL,3.289604826854871,66412108.82226957,-30.8292,-0.11860983,-1.23076074,4.2130712,4.17955469,-19.59788726,-28.67040263,1493016622.237727,0.1381,6451950093.57,,2023-10-03T22:49:00.000Z
MKR,1427.8552188807453,63467490.2244545,-61.6604,0.29823881,-0.53979733,0.79503933,25.51912281,10.57178116,55.51253579,1395915578.250123,0.1292,1435818367.44,4548066174.09896,2023-10-03T22:49:00.000Z
